Object ID,MJD(Days),RA,,,Dec,,,U,B,V,R,I,Z,Spectrum,Comments
N2230-01442,9332.266539,3,41,18.1,23,58,00,,10.548,8.805,,,,,
N2230-00478,9332.269929,3,42,58.8,24,29,36,,9.957,9.475,,,,,
N2230-00526,9332.272190,3,44,06.7,24,20,12,,12.181,11.537,,,,,
N2230-00306,9332.275197,3,45,02.0,24,15,50,,8.919,8.576,,,,,
N2230-01585,9332.277733,3,45,04.9,24,28,02,,4.180,4.291,,,,,
N2230-00156,9332.279483,3,45,36.3,24,37,39,,10.274,9.715,,,,,
N2230-01554,9341.316272,3,45,46.7,25,03,26,,14.498,13.453,,,,,
N2230-00319,9332.283416,3,45,47.0,24,16,13,,11.225,10.547,,,,,
N2230-00990,9341.341373,3,45,52.3,24,52,43,,13.058,12.046,,,,,
N2230-02089,9341.350555,3,46,31.2,23,35,35,,13.013,12.011,,,,,
N2230-01908,9332.285483,3,46,31.7,24,15,18,,7.507,7.401,,,,,
N2230-01621,9332.287034,3,46,37.8,23,37,27,,8.472,8.112,,,,,
N2230-01627,9332.288165,3,46,53.6,23,14,22,,10.461,9.906,,,,,
N2230-02081,9332.290046,3,47,03.5,24,31,12,,6.831,6.810,,,,,
N2230-01820,9341.356564,3,47,05.2,24,22,24,,13.789,12.604,,,,,
N2230-02202,9332.291781,3,47,32.8,24,05,22,,2.780,2.871,,,,,
N2230-02192,9341.362165,3,47,40.9,23,36,34,,8.943,7.710,,,,,
N2230-02091,9341.367139,3,47,54.1,24,40,45,,14.965,13.705,,,,,
N2230-02449,9341.376675,3,48,17.0,25,05,56,,11.648,10.918,,,,,
N2230-02207,9341.379687,3,48,15.8,23,25,14,,5.373,5.440,,,,,
N2230-01601,9341.381073,3,48,30.1,24,21,44,,7.079,6.952,,,,,
N2230-01175,9341.383984,3,49,10.6,24,00,40,,11.632,10.827,,,,,
N2230-01127,9341.388224,3,49,28.7,23,47,44,,12.195,11.351,,,,,
N2230-00985,9341.393826,3,49,56.6,24,19,54,,7.635,7.553,,,,,
